snapped_at,price,market_cap,total_volume
2021-04-17 00:00:00 UTC,1789.4373910732363,152129015.43740165,319900.12011192023
2021-04-18 00:00:00 UTC,1774.2803767047574,152337066.89082387,56984.77841208494
2021-04-19 00:00:00 UTC,1783.5841660107305,152391594.7177192,629926.2580461414
2021-04-20 00:00:00 UTC,1770.935705407617,151350913.62544388,304304.92390621145
2021-04-21 00:00:00 UTC,1778.7551433508509,151957848.0988362,411744.32484635146
2021-04-22 00:00:00 UTC,1809.767686807494,154223869.95613542,127028.3340158961
2021-04-23 00:00:00 UTC,1789.0380481231307,152531769.56693742,984358.7430191707
2021-04-24 00:00:00 UTC,1780.5801677329239,152353558.71607354,399600.1295699756
2021-04-25 00:00:00 UTC,1770.6104993510273,150995490.18220654,56008.375479079354
2021-04-26 00:00:00 UTC,1776.8571928102592,151618544.3868435,235272.685244559
2021-04-27 00:00:00 UTC,1780.2274841657647,151982767.85741264,563611.2592231616
2021-04-28 00:00:00 UTC,1771.4556955757796,151244924.4415,890246.6111127121
2021-04-29 00:00:00 UTC,1777.9354366697864,152086983.70792893,576403.3314206713
2021-04-30 00:00:00 UTC,1773.4633554952795,151364599.3616104,238746.1563675521
2021-05-01 00:00:00 UTC,1773.6546695056925,151170596.7378997,169136.14703611785
2021-05-02 00:00:00 UTC,1774.597445360413,151885463.7856446,101480.07354285006
2021-05-03 00:00:00 UTC,1771.1275489754337,151323839.1118629,43850.27102862205
2021-05-04 00:00:00 UTC,1793.1288033787698,153120382.75942564,100126.91794579766
2021-05-05 00:00:00 UTC,1773.3408404601528,151405090.79229146,272005.7444149683
2021-05-06 00:00:00 UTC,1793.252652751071,153160615.45375258,458879.5483111992
2021-05-07 00:00:00 UTC,1818.9154937949015,154932532.54426283,326417.1053187695
2021-05-08 00:00:00 UTC,1834.1620088418667,156212791.1126639,189335.72891248006
2021-05-09 00:00:00 UTC,1841.093397677125,157013349.97709846,181409.7281052023
2021-05-10 00:00:00 UTC,1844.22244385628,157435143.59127977,113670.48136901978
2021-05-11 00:00:00 UTC,1838.2389657091435,156880589.11918214,224298.68483355618
2021-05-12 00:00:00 UTC,1844.1970292963244,156898622.0320247,299993.38000002026
2021-05-13 00:00:00 UTC,1805.07826893063,156809404.48764062,319490.3261304226
2021-05-14 00:00:00 UTC,1828.781860331031,156284423.73441073,731968.5377881223
2021-05-15 00:00:00 UTC,1834.3979573406268,156961343.16871622,1069466.5319412956
2021-05-16 00:00:00 UTC,1823.0277969918118,155970623.2547229,588979.6249843497
2021-05-17 00:00:00 UTC,1867.6539582773783,157758362.967566,813227.457848814
2021-05-18 00:00:00 UTC,1863.2258570790855,161869348.4795188,794015.3763936064
2021-05-19 00:00:00 UTC,1868.770868734258,159156764.4889464,304161.52862522815
2021-05-20 00:00:00 UTC,1862.5966872255535,159121231.2154444,5839903.420234567
